Symbol,ISIN Code,Upstox Instrument Key,Upstox Trading Symbol,Instrument Type,Mapping Status
ABB,INE117A01022,NSE_EQ|INE117A01022,ABB,EQ,FOUND
ADANIENSOL,INE931S01010,NSE_EQ|INE931S01010,ADANIENSOL,EQ,FOUND
ADANIENT,INE423A01024,NSE_EQ|INE423A01024,ADANIENT,EQ,FOUND
ADANIGREEN,INE364U01010,NSE_EQ|INE364U01010,ADANIGREEN,EQ,FOUND
ADANIPORTS,INE742F01042,NSE_EQ|INE742F01042,ADANIPORTS,EQ,FOUND
ADANIPOWER,INE814H01029,NSE_EQ|INE814H01029,ADANIPOWER,EQ,FOUND
AMBUJACEM,INE079A01024,NSE_EQ|INE079A01024,AMBUJACEM,EQ,FOUND
APOLLOHOSP,INE437A01024,NSE_EQ|INE437A01024,APOLLOHOSP,EQ,FOUND
ASIANPAINT,INE021A01026,NSE_EQ|INE021A01026,ASIANPAINT,EQ,FOUND
AXISBANK,INE238A01034,NSE_EQ|INE238A01034,AXISBANK,EQ,FOUND
BAJAJ-AUTO,INE917I01010,NSE_EQ|INE917I01010,BAJAJ-AUTO,EQ,FOUND
BAJAJFINSV,INE918I01026,NSE_EQ|INE918I01026,BAJAJFINSV,EQ,FOUND
BAJAJHLDNG,INE118A01012,NSE_EQ|INE118A01012,BAJAJHLDNG,EQ,FOUND
BAJFINANCE,INE296A01032,NSE_EQ|INE296A01032,BAJFINANCE,EQ,FOUND
BANKBARODA,INE028A01039,NSE_EQ|INE028A01039,BANKBARODA,EQ,FOUND
BEL,INE263A01024,NSE_EQ|INE263A01024,BEL,EQ,FOUND
BHARTIARTL,INE397D01024,NSE_EQ|INE397D01024,BHARTIARTL,EQ,FOUND
BOSCHLTD,INE323A01026,NSE_EQ|INE323A01026,BOSCHLTD,EQ,FOUND
BPCL,INE029A01011,NSE_EQ|INE029A01011,BPCL,EQ,FOUND
BRITANNIA,INE216A01030,NSE_EQ|INE216A01030,BRITANNIA,EQ,FOUND
CANBK,INE476A01022,NSE_EQ|INE476A01022,CANBK,EQ,FOUND
CGPOWER,INE067A01029,NSE_EQ|INE067A01029,CGPOWER,EQ,FOUND
CHOLAFIN,INE121A01024,NSE_EQ|INE121A01024,CHOLAFIN,EQ,FOUND
CIPLA,INE059A01026,NSE_EQ|INE059A01026,CIPLA,EQ,FOUND
COALINDIA,INE522F01014,NSE_EQ|INE522F01014,COALINDIA,EQ,FOUND
CUMMINSIND,INE298A01020,NSE_EQ|INE298A01020,CUMMINSIND,EQ,FOUND
DIVISLAB,INE361B01024,NSE_EQ|INE361B01024,DIVISLAB,EQ,FOUND
DLF,INE271C01023,NSE_EQ|INE271C01023,DLF,EQ,FOUND
DMART,INE192R01011,NSE_EQ|INE192R01011,DMART,EQ,FOUND
DRREDDY,INE089A01031,NSE_EQ|INE089A01031,DRREDDY,EQ,FOUND
EICHERMOT,INE066A01021,NSE_EQ|INE066A01021,EICHERMOT,EQ,FOUND
ENRIN,INE1NPP01017,NSE_EQ|INE1NPP01017,ENRIN,EQ,FOUND
ETERNAL,INE758T01015,NSE_EQ|INE758T01015,ETERNAL,EQ,FOUND
GAIL,INE129A01019,NSE_EQ|INE129A01019,GAIL,EQ,FOUND
GODREJCP,INE102D01028,NSE_EQ|INE102D01028,GODREJCP,EQ,FOUND
GRASIM,INE047A01021,NSE_EQ|INE047A01021,GRASIM,EQ,FOUND
HAL,INE066F01020,NSE_EQ|INE066F01020,HAL,EQ,FOUND
HCLTECH,INE860A01027,NSE_EQ|INE860A01027,HCLTECH,EQ,FOUND
HDFCAMC,INE127D01025,NSE_EQ|INE127D01025,HDFCAMC,EQ,FOUND
HDFCBANK,INE040A01034,NSE_EQ|INE040A01034,HDFCBANK,EQ,FOUND
HDFCLIFE,INE795G01014,NSE_EQ|INE795G01014,HDFCLIFE,EQ,FOUND
HINDALCO,INE038A01020,NSE_EQ|INE038A01020,HINDALCO,EQ,FOUND
HINDUNILVR,INE030A01027,NSE_EQ|INE030A01027,HINDUNILVR,EQ,FOUND
HINDZINC,INE267A01025,NSE_EQ|INE267A01025,HINDZINC,EQ,FOUND
HYUNDAI,INE0V6F01027,NSE_EQ|INE0V6F01027,HYUNDAI,EQ,FOUND
ICICIBANK,INE090A01021,NSE_EQ|INE090A01021,ICICIBANK,EQ,FOUND
INDHOTEL,INE053A01029,NSE_EQ|INE053A01029,INDHOTEL,EQ,FOUND
INDIGO,INE646L01027,NSE_EQ|INE646L01027,INDIGO,EQ,FOUND
INFY,INE009A01021,NSE_EQ|INE009A01021,INFY,EQ,FOUND
IOC,INE242A01010,NSE_EQ|INE242A01010,IOC,EQ,FOUND
IRFC,INE053F01010,NSE_EQ|INE053F01010,IRFC,EQ,FOUND
ITC,INE154A01025,NSE_EQ|INE154A01025,ITC,EQ,FOUND
JINDALSTEL,INE749A01030,NSE_EQ|INE749A01030,JINDALSTEL,EQ,FOUND
JIOFIN,INE758E01017,NSE_EQ|INE758E01017,JIOFIN,EQ,FOUND
JSWSTEEL,INE019A01038,NSE_EQ|INE019A01038,JSWSTEEL,EQ,FOUND
KOTAKBANK,INE237A01036,NSE_EQ|INE237A01036,KOTAKBANK,EQ,FOUND
LODHA,INE670K01029,NSE_EQ|INE670K01029,LODHA,EQ,FOUND
LT,INE018A01030,NSE_EQ|INE018A01030,LT,EQ,FOUND
LTM,INE214T01019,NSE_EQ|INE214T01019,LTM,EQ,FOUND
M&M,INE101A01026,NSE_EQ|INE101A01026,M&M,EQ,FOUND
MARUTI,INE585B01010,NSE_EQ|INE585B01010,MARUTI,EQ,FOUND
MAXHEALTH,INE027H01010,NSE_EQ|INE027H01010,MAXHEALTH,EQ,FOUND
MAZDOCK,INE249Z01020,NSE_EQ|INE249Z01020,MAZDOCK,EQ,FOUND
MOTHERSON,INE775A01035,NSE_EQ|INE775A01035,MOTHERSON,EQ,FOUND
MUTHOOTFIN,INE414G01012,NSE_EQ|INE414G01012,MUTHOOTFIN,EQ,FOUND
NESTLEIND,INE239A01024,NSE_EQ|INE239A01024,NESTLEIND,EQ,FOUND
