Index / Sector,Stocks,Successful,Average 3M Return,Average RS 3M,Median RS 3M,Positive RS %,RS > +5 %,RS > +10 %,Top Stock,Top Stock RS
niftypharma,20,20,10.1994,13.284545,9.676054,80.0,65.0,50.0,LAURUSLABS,39.600693
niftymidsmallhealthcare,30,30,8.212147,11.297292,11.544777,73.333333,53.333333,50.0,LAURUSLABS,39.600693
niftyindiainternetindex,27,27,7.946845,11.031989,15.178081,66.666667,62.962963,55.555556,PAYTM,63.355781
nifty500healthcare,47,47,7.346368,10.431513,9.49335,76.595745,59.574468,48.93617,LAURUSLABS,39.600693
niftyretail,26,26,6.916945,10.002089,7.742023,53.846154,53.846154,42.307692,EMIL,65.660129
niftyit,10,10,6.161245,9.24639,11.213247,80.0,60.0,60.0,OFSS,25.015569
niftyconsumerservices,46,46,5.657555,8.742699,7.080606,54.347826,52.173913,43.478261,EMIL,65.660129
niftyhealthcare,20,20,5.126991,8.212136,4.546838,70.0,50.0,35.0,LAURUSLABS,39.600693
niftynbfc,19,19,3.584252,6.669397,5.252647,78.947368,52.631579,26.315789,CGCL,21.866125
niftyhospitals,12,12,3.542157,6.627302,4.673833,83.333333,41.666667,33.333333,YATHARTH,22.314753
niftymetal,15,15,3.49986,6.585005,0.970739,66.666667,26.666667,13.333333,WELCORP,77.819458
niftyauto,15,15,3.181526,6.266671,7.16982,73.333333,53.333333,46.666667,SONACOMS,32.53474
niftyindiadigital,51,51,2.52844,5.613585,4.150427,62.745098,47.058824,39.215686,PAYTM,63.355781
niftyindiatourism,15,15,2.239728,5.324873,1.019029,60.0,46.666667,40.0,SAPPHIRE,26.11041
niftymedia,10,10,2.097869,5.183013,0.40892,50.0,50.0,30.0,PFOCUS,44.426165
niftyoilandgas,15,15,1.921649,5.006793,-0.359264,46.666667,26.666667,26.666667,AEGISLOG,43.543702
niftymicrocap250,250,250,1.772908,4.858053,1.227835,51.2,41.6,34.0,DIACABS,90.403635
niftycommercialtransportservices,26,26,1.536853,4.621998,0.994706,53.846154,38.461538,26.923077,REDINGTON,62.421976
niftyconsumerdurables,13,13,1.163846,4.248991,-2.916637,46.153846,38.461538,23.076923,KALYANKJIL,57.754277
niftymidcapselect,25,25,0.993392,4.078537,2.505044,60.0,40.0,28.0,PAYTM,63.355781
niftyreitsandrealty,10,10,0.47102,3.556164,2.237789,60.0,30.0,30.0,LODHA,18.421783
niftyrealty,10,10,0.47102,3.556164,2.237789,60.0,30.0,30.0,LODHA,18.421783
niftymidsmallitandtelecom,20,20,0.414344,3.499489,2.728593,65.0,40.0,30.0,OFSS,25.015569
niftysmallcap250,250,250,0.271392,3.356537,-0.215122,49.2,39.2,30.4,WELCORP,77.819458
niftybank,14,14,-0.568766,2.516378,4.120973,71.428571,35.714286,14.285714,IDFCFIRSTB,13.175467
niftymidsmallfinancialservices,30,30,-0.61157,2.473575,2.275015,60.0,36.666667,20.0,PAYTM,63.355781
niftyindiaconsumption,30,30,-0.655945,2.429199,1.439566,56.666667,33.333333,23.333333,NAUKRI,29.71272
nifty500,500,500,-0.682067,2.403077,-0.126744,49.6,35.0,25.2,WELCORP,77.819458
niftyprivatebank,10,10,-0.965642,2.119502,4.670252,70.0,40.0,20.0,IDFCFIRSTB,13.175467
niftyindiadefence,19,19,-1.106997,1.978148,-3.32543,36.842105,36.842105,36.842105,PARAS,24.900906
niftytelecommunications,13,13,-1.162602,1.922542,-4.189103,46.153846,23.076923,23.076923,OPTIEMUS,42.826645
