Sector,Company Name,Industry,Symbol,Series,ISIN Code,NSE Symbol,Last Fetch,Live NIFTY LTP,Daily,Weekly,1M,3M,6M,YTD,Nifty Index 3M % Change,Stock Relative Strength vs Nifty,RS History,10D RS Change,Highest RS,Lowest RS,Average RS,RS Momentum Score,Consistency,RS Data Days,Volume History,Today Volume,10D Average Volume,Volume Ratio,Volume Change %,Upstox Instrument Key,Data Date,LTP,Return Calculation Price,Previous Close,LTP Change %,LTP Volume,LTP Last Traded Qty,LTP Fetch Time,Status
niftymicrocap250,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023,,2026-09-26T16:20:44+05:30,23140.5,2.019791,2.603954,47.945744,89.870703,83.337393,,-3.364827,93.235531,"[{'date': '2026-09-15', 'rs': 75.556743, 'volume': 1157001}, {'date': '2026-09-16', 'rs': 71.623847, 'volume': 586784}, {'date': '2026-09-17', 'rs': 72.127726, 'volume': 547415}, {'date': '2026-09-18', 'rs': 83.965804, 'volume': 1207844}, {'date': '2026-09-21', 'rs': 85.725153, 'volume': 894431}, {'date': '2026-09-22', 'rs': 80.614257, 'volume': 327918}, {'date': '2026-09-23', 'rs': 80.34473, 'volume': 245810}, {'date': '2026-09-24', 'rs': 87.509467, 'volume': 403019}, {'date': '2026-09-25', 'rs': 93.235531, 'volume': 220062}, {'date': '2026-09-26', 'rs': 93.679112, 'volume': 220062, 'source': 'LIVE LTP'}]",18.122369,93.679112,71.623847,82.438237,12.489861,6.0,10.0,"[{'date': '2026-09-15', 'rs': 75.556743, 'volume': 1157001}, {'date': '2026-09-16', 'rs': 71.623847, 'volume': 586784}, {'date': '2026-09-17', 'rs': 72.127726, 'volume': 547415}, {'date': '2026-09-18', 'rs': 83.965804, 'volume': 1207844}, {'date': '2026-09-21', 'rs': 85.725153, 'volume': 894431}, {'date': '2026-09-22', 'rs': 80.614257, 'volume': 327918}, {'date': '2026-09-23', 'rs': 80.34473, 'volume': 245810}, {'date': '2026-09-24', 'rs': 87.509467, 'volume': 403019}, {'date': '2026-09-25', 'rs': 93.235531, 'volume': 220062}, {'date': '2026-09-26', 'rs': 93.679112, 'volume': 220062, 'source': 'LIVE LTP'}]",220062.0,621142.666667,0.354286,-64.571424,NSE_EQ|INE541A01023,2026-09-25,1505.2,LIVE LTP,1475.4,2.019791,220062.0,5.0,2026-09-26T16:20:44+05:30,OK
niftycapitalgoods,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,,2026-09-26T16:20:44+05:30,23140.5,5.207637,6.4772,22.790133,87.476833,267.390881,,-3.364827,90.841661,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",9.853374,101.311969,77.490751,89.116973,0.034855,5.0,10.0,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",2763523.0,2454346.777778,1.125971,12.597088,NSE_EQ|INE191B01025,2026-09-25,2832.4,LIVE LTP,2692.2,5.207637,2763523.0,17.0,2026-09-26T16:20:44+05:30,OK
nifty500,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,,2026-09-26T16:20:44+05:30,23140.5,5.207637,6.4772,22.790133,87.476833,267.390881,,-3.364827,90.841661,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",9.853374,101.311969,77.490751,89.116973,0.034855,5.0,10.0,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",2763523.0,2454346.777778,1.125971,12.597088,NSE_EQ|INE191B01025,2026-09-25,2832.4,LIVE LTP,2692.2,5.207637,2763523.0,17.0,2026-09-26T16:20:44+05:30,OK
niftysmallcap250,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,,2026-09-26T16:20:44+05:30,23140.5,5.207637,6.4772,22.790133,87.476833,267.390881,,-3.364827,90.841661,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",9.853374,101.311969,77.490751,89.116973,0.034855,5.0,10.0,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",2763523.0,2454346.777778,1.125971,12.597088,NSE_EQ|INE191B01025,2026-09-25,2832.4,LIVE LTP,2692.2,5.207637,2763523.0,17.0,2026-09-26T16:20:44+05:30,OK
niftymetal,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,,2026-09-26T16:20:44+05:30,23140.5,5.207637,6.4772,22.790133,87.476833,267.390881,,-3.364827,90.841661,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",9.853374,101.311969,77.490751,89.116973,0.034855,5.0,10.0,"[{'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}, {'date': '2026-09-26', 'rs': 89.148342, 'volume': 2763523, 'source': 'LIVE LTP'}]",2763523.0,2454346.777778,1.125971,12.597088,NSE_EQ|INE191B01025,2026-09-25,2832.4,LIVE LTP,2692.2,5.207637,2763523.0,17.0,2026-09-26T16:20:44+05:30,OK
niftymicrocap250,Shilpa Medicare Ltd.,Healthcare,SHILPAMED,EQ,INE790G01031,,2026-09-26T16:20:44+05:30,23140.5,0.610543,-0.749192,17.740343,76.682357,224.459741,,-3.364827,80.047185,"[{'date': '2026-09-15', 'rs': 68.693644, 'volume': 756740}, {'date': '2026-09-16', 'rs': 65.737337, 'volume': 1187365}, {'date': '2026-09-17', 'rs': 79.363834, 'volume': 819680}, {'date': '2026-09-18', 'rs': 87.976365, 'volume': 1766385}, {'date': '2026-09-21', 'rs': 98.276208, 'volume': 1476205}, {'date': '2026-09-22', 'rs': 76.847665, 'volume': 675143}, {'date': '2026-09-23', 'rs': 81.414873, 'volume': 613628}, {'date': '2026-09-24', 'rs': 80.352085, 'volume': 622161}, {'date': '2026-09-25', 'rs': 80.047185, 'volume': 604526}, {'date': '2026-09-26', 'rs': 72.398834, 'volume': 604526, 'source': 'LIVE LTP'}]",3.70519,98.276208,65.737337,79.110803,-7.457743,4.0,10.0,"[{'date': '2026-09-15', 'rs': 68.693644, 'volume': 756740}, {'date': '2026-09-16', 'rs': 65.737337, 'volume': 1187365}, {'date': '2026-09-17', 'rs': 79.363834, 'volume': 819680}, {'date': '2026-09-18', 'rs': 87.976365, 'volume': 1766385}, {'date': '2026-09-21', 'rs': 98.276208, 'volume': 1476205}, {'date': '2026-09-22', 'rs': 76.847665, 'volume': 675143}, {'date': '2026-09-23', 'rs': 81.414873, 'volume': 613628}, {'date': '2026-09-24', 'rs': 80.352085, 'volume': 622161}, {'date': '2026-09-25', 'rs': 80.047185, 'volume': 604526}, {'date': '2026-09-26', 'rs': 72.398834, 'volume': 604526, 'source': 'LIVE LTP'}]",604526.0,946870.333333,0.638446,-36.155355,NSE_EQ|INE790G01031,2026-09-25,1013.45,LIVE LTP,1007.3,0.610543,604526.0,6.0,2026-09-26T16:20:44+05:30,OK
niftyconsumerservices,Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019,,2026-09-26T16:20:44+05:30,23140.5,5.846902,2.007336,8.496803,72.14341,133.956532,,-3.364827,75.508237,"[{'date': '2026-09-15', 'rs': 69.319683, 'volume': 1398144}, {'date': '2026-09-16', 'rs': 56.326421, 'volume': 2115907}, {'date': '2026-09-17', 'rs': 59.391169, 'volume': 1962550}, {'date': '2026-09-18', 'rs': 65.179181, 'volume': 15751870}, {'date': '2026-09-21', 'rs': 60.211311, 'volume': 3557184}, {'date': '2026-09-22', 'rs': 63.136765, 'volume': 1941463}, {'date': '2026-09-23', 'rs': 59.612213, 'volume': 3823676}, {'date': '2026-09-24', 'rs': 62.898646, 'volume': 2792300}, {'date': '2026-09-25', 'rs': 75.508237, 'volume': 6776165}, {'date': '2026-09-26', 'rs': 67.517638, 'volume': 6776165, 'source': 'LIVE LTP'}]",-1.802045,75.508237,56.326421,63.910126,4.008346,5.0,10.0,"[{'date': '2026-09-15', 'rs': 69.319683, 'volume': 1398144}, {'date': '2026-09-16', 'rs': 56.326421, 'volume': 2115907}, {'date': '2026-09-17', 'rs': 59.391169, 'volume': 1962550}, {'date': '2026-09-18', 'rs': 65.179181, 'volume': 15751870}, {'date': '2026-09-21', 'rs': 60.211311, 'volume': 3557184}, {'date': '2026-09-22', 'rs': 63.136765, 'volume': 1941463}, {'date': '2026-09-23', 'rs': 59.612213, 'volume': 3823676}, {'date': '2026-09-24', 'rs': 62.898646, 'volume': 2792300}, {'date': '2026-09-25', 'rs': 75.508237, 'volume': 6776165}, {'date': '2026-09-26', 'rs': 67.517638, 'volume': 6776165, 'source': 'LIVE LTP'}]",6776165.0,4457695.444444,1.520105,52.010497,NSE_EQ|INE02YR01019,2026-09-25,200.22,LIVE LTP,189.16,5.846902,6776165.0,25.0,2026-09-26T16:20:44+05:30,OK
niftymicrocap250,Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019,,2026-09-26T16:20:44+05:30,23140.5,5.846902,2.007336,8.496803,72.14341,133.956532,,-3.364827,75.508237,"[{'date': '2026-09-15', 'rs': 69.319683, 'volume': 1398144}, {'date': '2026-09-16', 'rs': 56.326421, 'volume': 2115907}, {'date': '2026-09-17', 'rs': 59.391169, 'volume': 1962550}, {'date': '2026-09-18', 'rs': 65.179181, 'volume': 15751870}, {'date': '2026-09-21', 'rs': 60.211311, 'volume': 3557184}, {'date': '2026-09-22', 'rs': 63.136765, 'volume': 1941463}, {'date': '2026-09-23', 'rs': 59.612213, 'volume': 3823676}, {'date': '2026-09-24', 'rs': 62.898646, 'volume': 2792300}, {'date': '2026-09-25', 'rs': 75.508237, 'volume': 6776165}, {'date': '2026-09-26', 'rs': 67.517638, 'volume': 6776165, 'source': 'LIVE LTP'}]",-1.802045,75.508237,56.326421,63.910126,4.008346,5.0,10.0,"[{'date': '2026-09-15', 'rs': 69.319683, 'volume': 1398144}, {'date': '2026-09-16', 'rs': 56.326421, 'volume': 2115907}, {'date': '2026-09-17', 'rs': 59.391169, 'volume': 1962550}, {'date': '2026-09-18', 'rs': 65.179181, 'volume': 15751870}, {'date': '2026-09-21', 'rs': 60.211311, 'volume': 3557184}, {'date': '2026-09-22', 'rs': 63.136765, 'volume': 1941463}, {'date': '2026-09-23', 'rs': 59.612213, 'volume': 3823676}, {'date': '2026-09-24', 'rs': 62.898646, 'volume': 2792300}, {'date': '2026-09-25', 'rs': 75.508237, 'volume': 6776165}, {'date': '2026-09-26', 'rs': 67.517638, 'volume': 6776165, 'source': 'LIVE LTP'}]",6776165.0,4457695.444444,1.520105,52.010497,NSE_EQ|INE02YR01019,2026-09-25,200.22,LIVE LTP,189.16,5.846902,6776165.0,25.0,2026-09-26T16:20:44+05:30,OK
niftyretail,Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019,,2026-09-26T16:20:44+05:30,23140.5,5.846902,2.007336,8.496803,72.14341,133.956532,,-3.364827,75.508237,"[{'date': '2026-09-15', 'rs': 69.319683, 'volume': 1398144}, {'date': '2026-09-16', 'rs': 56.326421, 'volume': 2115907}, {'date': '2026-09-17', 'rs': 59.391169, 'volume': 1962550}, {'date': '2026-09-18', 'rs': 65.179181, 'volume': 15751870}, {'date': '2026-09-21', 'rs': 60.211311, 'volume': 3557184}, {'date': '2026-09-22', 'rs': 63.136765, 'volume': 1941463}, {'date': '2026-09-23', 'rs': 59.612213, 'volume': 3823676}, {'date': '2026-09-24', 'rs': 62.898646, 'volume': 2792300}, {'date': '2026-09-25', 'rs': 75.508237, 'volume': 6776165}, {'date': '2026-09-26', 'rs': 67.517638, 'volume': 6776165, 'source': 'LIVE LTP'}]",-1.802045,75.508237,56.326421,63.910126,4.008346,5.0,10.0,"[{'date': '2026-09-15', 'rs': 69.319683, 'volume': 1398144}, {'date': '2026-09-16', 'rs': 56.326421, 'volume': 2115907}, {'date': '2026-09-17', 'rs': 59.391169, 'volume': 1962550}, {'date': '2026-09-18', 'rs': 65.179181, 'volume': 15751870}, {'date': '2026-09-21', 'rs': 60.211311, 'volume': 3557184}, {'date': '2026-09-22', 'rs': 63.136765, 'volume': 1941463}, {'date': '2026-09-23', 'rs': 59.612213, 'volume': 3823676}, {'date': '2026-09-24', 'rs': 62.898646, 'volume': 2792300}, {'date': '2026-09-25', 'rs': 75.508237, 'volume': 6776165}, {'date': '2026-09-26', 'rs': 67.517638, 'volume': 6776165, 'source': 'LIVE LTP'}]",6776165.0,4457695.444444,1.520105,52.010497,NSE_EQ|INE02YR01019,2026-09-25,200.22,LIVE LTP,189.16,5.846902,6776165.0,25.0,2026-09-26T16:20:44+05:30,OK
niftymicrocap250,Diamond Power Infrastructure Ltd.,Capital Goods,DIACABS,BE,INE989C01038,,2026-09-26T16:20:44+05:30,23140.5,-1.650714,-3.353326,4.788649,69.991369,200.576564,,-3.364827,73.356196,"[{'date': '2026-09-15', 'rs': 91.189436, 'volume': 1398719}, {'date': '2026-09-16', 'rs': 96.626559, 'volume': 1589608}, {'date': '2026-09-17', 'rs': 89.646425, 'volume': 738512}, {'date': '2026-09-18', 'rs': 78.077491, 'volume': 759461}, {'date': '2026-09-21', 'rs': 83.954919, 'volume': 681368}, {'date': '2026-09-22', 'rs': 85.485665, 'volume': 549133}, {'date': '2026-09-23', 'rs': 87.224043, 'volume': 1102551}, {'date': '2026-09-24', 'rs': 78.865673, 'volume': 744191}, {'date': '2026-09-25', 'rs': 73.356196, 'volume': 539550}, {'date': '2026-09-26', 'rs': 72.380614, 'volume': 539550, 'source': 'LIVE LTP'}]",-18.808822,96.626559,72.380614,83.680702,-12.555653,4.0,10.0,"[{'date': '2026-09-15', 'rs': 91.189436, 'volume': 1398719}, {'date': '2026-09-16', 'rs': 96.626559, 'volume': 1589608}, {'date': '2026-09-17', 'rs': 89.646425, 'volume': 738512}, {'date': '2026-09-18', 'rs': 78.077491, 'volume': 759461}, {'date': '2026-09-21', 'rs': 83.954919, 'volume': 681368}, {'date': '2026-09-22', 'rs': 85.485665, 'volume': 549133}, {'date': '2026-09-23', 'rs': 87.224043, 'volume': 1102551}, {'date': '2026-09-24', 'rs': 78.865673, 'volume': 744191}, {'date': '2026-09-25', 'rs': 73.356196, 'volume': 539550}, {'date': '2026-09-26', 'rs': 72.380614, 'volume': 539550, 'source': 'LIVE LTP'}]",539550.0,900343.666667,0.599271,-40.072883,NSE_EQ|INE989C01038,2026-09-25,354.5,LIVE LTP,360.45,-1.650714,539550.0,4.0,2026-09-26T16:20:44+05:30,OK
niftymicrocap250,SML Mahindra Ltd.,Capital Goods,SMLMAH,EQ,INE294B01019,,2026-09-26T16:20:44+05:30,23140.5,3.36968,8.470401,31.499856,69.485002,77.387078,,-3.364827,72.849829,"[{'date': '2026-09-15', 'rs': 62.400194, 'volume': 45556}, {'date': '2026-09-16', 'rs': 54.034987, 'volume': 83297}, {'date': '2026-09-17', 'rs': 57.842365, 'volume': 48450}, {'date': '2026-09-18', 'rs': 56.544545, 'volume': 53178}, {'date': '2026-09-21', 'rs': 60.526991, 'volume': 58379}, {'date': '2026-09-22', 'rs': 66.264728, 'volume': 73551}, {'date': '2026-09-23', 'rs': 70.694675, 'volume': 53537}, {'date': '2026-09-24', 'rs': 65.455606, 'volume': 33865}, {'date': '2026-09-25', 'rs': 72.849829, 'volume': 50096}, {'date': '2026-09-26', 'rs': 69.595731, 'volume': 50096, 'source': 'LIVE LTP'}]",7.195537,72.849829,54.034987,63.620965,6.638629,5.0,10.0,"[{'date': '2026-09-15', 'rs': 62.400194, 'volume': 45556}, {'date': '2026-09-16', 'rs': 54.034987, 'volume': 83297}, {'date': '2026-09-17', 'rs': 57.842365, 'volume': 48450}, {'date': '2026-09-18', 'rs': 56.544545, 'volume': 53178}, {'date': '2026-09-21', 'rs': 60.526991, 'volume': 58379}, {'date': '2026-09-22', 'rs': 66.264728, 'volume': 73551}, {'date': '2026-09-23', 'rs': 70.694675, 'volume': 53537}, {'date': '2026-09-24', 'rs': 65.455606, 'volume': 33865}, {'date': '2026-09-25', 'rs': 72.849829, 'volume': 50096}, {'date': '2026-09-26', 'rs': 69.595731, 'volume': 50096, 'source': 'LIVE LTP'}]",50096.0,55545.444444,0.901892,-9.810786,NSE_EQ|INE294B01019,2026-09-25,6825.5,LIVE LTP,6603.0,3.36968,50096.0,2.0,2026-09-26T16:20:44+05:30,OK
