Sector,Company Name,Industry,Symbol,Series,ISIN Code
nifty100,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
nifty100,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
nifty100,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
nifty100,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
nifty100,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
nifty100,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
nifty100,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
nifty100,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
nifty100,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
nifty100,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
nifty100,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
nifty100,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
nifty100,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
nifty100,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
nifty100,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
nifty100,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
nifty100,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
nifty100,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
nifty100,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
nifty100,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
nifty100,Canara Bank,Financial Services,CANBK,EQ,INE476A01022
nifty100,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
nifty100,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
nifty100,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
nifty100,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
nifty100,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
nifty100,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
nifty100,DLF Ltd.,Realty,DLF,EQ,INE271C01023
nifty100,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
nifty100,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
nifty100,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
nifty100,Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017
nifty100,Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015
nifty100,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
nifty100,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
nifty100,Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
nifty100,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
nifty100,HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
nifty100,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
nifty100,HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
nifty100,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
nifty100,Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
nifty100,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
nifty100,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
nifty100,Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
nifty100,ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
nifty100,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
nifty100,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
nifty100,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
nifty100,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
nifty100,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
nifty100,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
nifty100,Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
nifty100,Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
nifty100,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
nifty100,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036
nifty100,Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
nifty100,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
nifty100,LTM Ltd.,Information Technology,LTM,EQ,INE214T01019
nifty100,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
nifty100,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
nifty100,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
nifty100,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
nifty100,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
nifty100,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
nifty100,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
nifty100,NTPC Ltd.,Power,NTPC,EQ,INE733E01010
nifty100,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
nifty100,Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
nifty100,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
nifty100,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
nifty100,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
nifty100,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
nifty100,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
nifty100,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
nifty100,State Bank of India,Financial Services,SBIN,EQ,INE062A01020
nifty100,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
nifty100,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
nifty100,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
nifty100,Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
nifty100,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
nifty100,Tata Capital Ltd.,Financial Services,TATACAP,EQ,INE976I01016
nifty100,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
nifty100,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
nifty100,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
nifty100,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
nifty100,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
nifty100,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
nifty100,Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
nifty100,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
nifty100,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
nifty100,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
nifty100,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
